player,cluster
tbret,1
pawnkingprime,2
qasem,1
DzonYx,1
pedrocempaus,1
Vdog115,1
burnoksan,1
maroon,2
paayots,0
Knedwert,2
perrete,2
Amberdawn,2
ziba,2
bardia,1
skchess,1
Leon56,1
Diahrree,2
libero,1
chuckler,1
asifkays,1
danielski,0
jagsolitario,0
gambitking,0
negletios,2
Evgeniy_N,1
899,0
Pergamin,0
mistergrey,1
Mafia_top,2
StefanVlasinski,1
Der_Boss,2
MyTrooName,2
need4keed,1
mapets,1
ankesor,2
danielfegu,1
Maklaud,1
girniak,1
Gameiza,0
Schlyonsky,1
GoVegan,2
back2win21,2
rookie01,1
gholash,1
heyyo,0
LabudovoBrdo,1
thonon,1
marram,1
mostafa-GM,1
Rubiales,1
zrupnik666,0
lossahista,0
Josimar1989,2
Nazjones,2
Sir-Dapper,2
Nahuel91,0
jordov,1
dabish,1
pedro35,0
TingeltangelDante,1
CHESSMAN1,1
vinay,2
Magus,1
Tkach,0
RASA,0
legolord,1
vikingsykt,2
andrebaldo,0
cc1200,2
mag,2
aycs,0
krzysztof47,1
mrshogi,1
CKOT,1
Immortalice,2
simpu,2
matungopulenta,1
pooeater,1
Cortana,0
juandavid93,1
EvilSkeleton,0
al78,0
couchslouch,2
Pablete,2
Adsumus,2
ultima_linea_rerum,1
latka,1
Dnipro,1
deivis14,0
Morric,1
MmiiYvaaRrxaaRrr,0
Spaztic,0
Wasp,2
Jakan71,0
ShkinTaty,0
WATCHTHEEE,1
coeklav,0
MonaBlue,1
neymardossantos,1
TheRadishSpirit,2
Vincenzo,1
sGv69,1
RunningMan,1
tkngrafik,1
ali40,2
Bipolar_Bear,1
NoPlayNoFun,2
KotovSyndrome,1
donChisciotte,0
pokrov,1
koss92,1
occupylichess,1
reza11,2
niggerwatt,2
leonard,2
Mahayana,2
World__Champion_,2
ravichesswhy,2
awawaw,1
occupy_lichess,0
krki,0
oldsaltydog,2
Numoto,0
dietofworms,2
davidsalazul,2
vahehabram,1
robin74,2
lenny26,0
raim25,0
HDI,2
5Agostini,0
Catoira,0
Teltronik,1
LunnaDorozh,0
Anassdu37,1
Chesymaster,2
chandy,1
quodlicetjovi,1
Larry,2
Crus,2
leff59,0
Napoleon17,0
Trompetenfurz,1
Allah_Is_Greatest,2
Dickzilla,2
Denizen,1
justplay,2
sahsexovic,0
peacone,2
4steps,2
keeneye,2
evilpawn,2
Brutality,0
Labrador,0
baronetto,0
Babaul,1
Massaraksh,0
qwertyzxc,2
pevackisah,0
nikky78,1
gz,2
alfil_pincharrata,0
Caboose,0
Navosssta,0
sftb,1
ShubinS,2
MariTimo,1
AlwaysWinner,0
MILADBCH,0
dzinstoja,0
Maedhros,1
oldstar,0
coery12345,2
inspectorgadchet,0
Nstyle,0
MendesJr,2
peon-de-don-Miguel,0
punisher2013,0
MYTIME,2
xchuko,0
SavageChezz,0
kertbert,1
ShubinA,1
NR-S,2
grigora,2
Negra_Hermosha,0
kualalumpur,0
GAV,0
twochief,2
alrazouqi,0
ariana14,1
longuz,0
hash,0
BerserK,2
aleator,2
ayax1,1
lolcat,0
hhrdan,1
salmo,0
MehMeh,2
sandfran,2
RedBull,0
dododa,1
javloon,0
krmaksi,0
netsah08,0
ravishank,0
flashy,2
schlafi,0
pteozaur,0
writing13,0
bz,1
German_rc,1
Qjerk,2
gonzalosar,1
malcolmics,0
pacoco123,0
Anariel14,1
TVZ_2013,0
tt_samuel,2
jih,2
godless,0
federer,1
1_,2
a1968,1
draganlimar,1
nikola1,2
FC_DD,0
TaDa,0
van9,0
High,0
Tritonos,0
KHORRAM,0
bmehdi,1
winter2000,2
ZPavelZ,0
BVS1959,1
Boby25,1
Paradoxus,1
Olorin,1
artist991,1
sjjs,2
Greenlan,2
mevale,0
khal,1
trypanasomagambiense,2
monstr,0
des,0
MikeS,2
Bane65,1
riker,1
sjsalsa,2
thaliolhagi,1
NIkiTA-1999,1
putoelquelolea,2
hi_man,0
pablotorre,1
Mollekopp,1
antisah,0
Smrt,0
Joanot-Martorell,2
erluis,2
petrpervy,1
vmartin,1
SCORPION98,0
princekaka,2
zaman1410,0
Afshin1,2
ddorian,2
mas_moel,2
Moloch,2
pokemonmemet,1
cadenas,0
indian_army,2
Robin_Hood,2
0856,0
Varys,1
Virtus,0
1051,0
SatDiver,2
dim18,0
Pawnmaster,1
zigzag,0
Moham20,2
anton130287,0
JAKE100,2
luserino,1
AR,1
unproductivity,1
stengah33,2
knopp,1
avigrin,1
6666,1
chupa,1
frandsand,2
paiztugalan,1
TheDazzler,1
buja,0
olegis,2
para_usan,1
commissar,1
jigglefiggle,2
Interceptor3,1
mditll,1
username_id,0
Ferz,1
rburge7,2
khoram,0
vicentm,0
2Hunder,0
Urusov,1
rorro0202,2
GambitRicky,1
Sinnerman,0
Fabatak,0
grbavsi,1
insertcoin,1
entraction,0
juketay,2
Troianus,1
semenov_serjei,1
Cranich,1
fax,1
keeper,1
xotix30,1
Arius,1
k150,1
legend999,2
Arthzu,1
karpov0071,0
Baelor,1
leos,1
jewbutcher,1
shahram364,2
joudy,2
rtyjghh,2
Goofy,0
sevennn777,0
mehdi--,1
Oldguy,1
die_juden_aus_rotten,1
mayorga,1
Sofia,1
NANDgate,0
chesmania,2
uragan415,1
zine1971,2
PrettyWoman,1
herbyangyun,1
schachstefan,0
pauok,0
litzzzz,2
KendricK,0
332,0
acula,1
hobbychess,0
Victor_I,1
13-1000,2
SkyBang,0
Tortfeasor,0
